run_index,run_id,scheme,layout,schedule,length,mults,jobs,fixture_seed,fixture_fnv1a64,repetitions,verified_measured_output_coefficients,openfhe_version,compiler,hardware_threads,omp_num_threads,process_elapsed_seconds,plaintext_modulus,ring_dimension,parameter_multiplicative_depth,ctct_depth,ciphertext_q_bits,ciphertext_q_log2,ciphertext_q_towers,ciphertext_q_primes,key_switching_p_bits,key_switching_p_primes,key_switching_qp_bits,output_q_towers,key_switching_technique,secret_key_distribution,scaling_technique,encryption_technique,multiplication_technique,evaluation_points,integer_low_coefficient_bound,jobs_per_ciphertext_capacity,ciphertext_batches,input_ciphertexts,output_ciphertexts,ctct_calls_per_trial,rotation_calls,bootstrap_calls,security_requested,independent_security_certification,public_key_bytes,relinearization_key_bytes,input_bytes,output_bytes,peak_rss_bytes,setup_ms,precomputation_ms,encode_ms_median,encode_ms_min,encode_ms_max,encrypt_ms_median,encrypt_ms_min,encrypt_ms_max,eval_ms_median,eval_ms_min,eval_ms_max,decrypt_ms_median,decrypt_ms_min,decrypt_ms_max,decode_ms_median,decode_ms_min,decode_ms_max,end_to_end_ms_median,end_to_end_ms_min,end_to_end_ms_max,eval_jobs_per_second_median,eval_jobs_per_second_min,eval_jobs_per_second_max,end_to_end_jobs_per_second_median,end_to_end_jobs_per_second_min,end_to_end_jobs_per_second_max,case_path,case_sha256
1,leveled-main-v2,BFV,native,sequential,4,1,1,11,16710319043999869123,7,28,1.5.1,16.1.0,32,1,0.12898240000140504,2,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,7,4,1,1,2,1,1,0,0,HEStd_128_classic,False,262967,525405,526022,263211,14897152,10.306,0.004,2.3935,2.3427,2.7395,5.2438,5.1164,5.8198,5.048,4.7841,5.3218,0.4473,0.402,0.683,0.0024,0.0023,0.0027,13.242299999999998,12.6849,14.114899999999999,198.09825673534073,187.90634747641778,209.02573106749443,75.51558264047787,70.8471190019058,78.83388911225157,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/075-BFV-native-e4-d1-j1-sequential.json,ef0fc53f2c84b13c4e58d7f22ef183d0f0c4d798331c9ea4cf502eb47d40c7cd
1,leveled-main-v2,BFV,packed_terminal,sequential,4,1,1,11,16710319043999869123,7,28,1.5.1,16.1.0,32,1,0.11033660000066448,65537,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,7,4,1170,1,2,1,1,0,0,HEStd_128_classic,False,262967,525405,526022,263211,14417920,10.0904,0.0067,0.5061,0.5012,0.5202,5.2509,5.1836,5.528,4.852,4.7571,4.9892,0.4023,0.398,0.424,0.0011,0.0008,0.0013,11.011999999999999,10.8876,11.3687,206.10057708161582,200.43293513990218,210.21210401294906,90.81002542680713,87.96080466544107,91.84760645137587,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/074-BFV-packed_terminal-e4-d1-j1-sequential.json,dc069734f345a6c80de442e551e81c4a90b816025e0309621403907b16605d9a
1,leveled-main-v2,BGV,native,sequential,4,1,1,11,16710319043999869123,7,28,1.5.1,16.1.0,32,1,0.11300919999848702,2,8192,1,1,54,53.926331,3,"[""65537"",""2277377"",""114689""]",60,"[""1152921504606830593""]",114,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,7,4,1,1,2,1,1,0,0,HEStd_128_classic,False,394145,1050293,788378,263163,15474688,11.873,0.0042,3.2276,3.1627,3.527,4.571,4.4245,4.6535,2.7662,2.6745,2.868,0.4899,0.4617,0.6419,0.0023,0.0021,0.0028,11.0183,10.892100000000001,11.408000000000001,361.5067601764153,348.6750348675035,373.9016638624042,90.7581024295944,87.65778401122019,91.80966021244754,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/064-BGV-native-e4-d1-j1-sequential.json,9697a36bfbf642140c2a375a3d3cfd26320c7f4ebae72669ca96a6034b6db54d
1,leveled-main-v2,BGV,packed_terminal,sequential,4,1,1,11,16710319043999869123,7,28,1.5.1,16.1.0,32,1,0.09956210000018473,65537,8192,1,1,83,82.807556,3,"[""1073872897"",""68720050177"",""114689""]",120,"[""1152921497895862273"",""1152921422732787713""]",203,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,7,4,1170,1,2,1,1,0,0,HEStd_128_classic,False,394153,1312641,788394,263179,16035840,14.8227,0.0086,0.6993,0.6871,0.7387,4.5204,4.4611,4.6899,3.1171,3.0506,3.3,0.5693,0.5503,0.6758,0.0011,0.0009,0.0013,8.970600000000001,8.7818,9.267199999999999,320.81101023387123,303.03030303030306,327.8043663541598,111.4752636389985,107.90745856353593,113.87187137033409,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/012-BGV-packed_terminal-e4-d1-j1-sequential.json,728ba15ce969bca04861a2869f3b4724a68d091b745effac48e83fa963174865
1,leveled-main-v2,BFV,native,sequential,4,1,16,11,9959786547401337537,7,448,1.5.1,16.1.0,32,1,1.5635086000002048,2,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,7,4,1,16,32,16,16,0,0,HEStd_128_classic,False,262967,525405,8416352,4211376,46268416,10.2817,0.0072,37.5288,37.001,44.3613,77.1695,77.0738,80.5682,67.2847,67.0034,67.5575,4.0151,3.9478,4.0817,0.0309,0.0291,0.0342,185.7464,185.1891,196.39860000000002,237.79551666277771,236.83528845798023,238.79385225227378,86.13895074144102,81.46697583383995,86.39817354261132,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/053-BFV-native-e4-d1-j16-sequential.json,6e0a36156ddf671ab2844165ec8b314f7eede054b78c379df051a551618f591c
1,leveled-main-v2,BFV,packed_terminal,sequential,4,1,16,11,9959786547401337537,7,448,1.5.1,16.1.0,32,1,0.10927799999990384,65537,8192,1,1,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,7,4,1170,1,2,1,1,0,0,HEStd_128_classic,False,262967,525405,526022,263211,14422016,10.2307,0.0117,0.5091,0.4985,0.5615,5.2032,5.1524,5.3555,4.7747,4.7226,5.074,0.4071,0.4045,0.4336,0.002,0.0018,0.003,10.9297,10.813899999999999,11.252100000000002,3350.99587408633,3153.3307055577457,3387.964256977089,1463.9011134797843,1421.9567902880349,1479.5772108120107,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/057-BFV-packed_terminal-e4-d1-j16-sequential.json,7cefc09d0c6f1c425aa9d18e720898b04a39c82b8a590f4e65118f07cb5a938d
1,leveled-main-v2,BGV,native,sequential,4,1,16,11,9959786547401337537,7,448,1.5.1,16.1.0,32,1,1.2904581000002509,2,8192,1,1,54,53.926331,3,"[""65537"",""2277377"",""114689""]",60,"[""1152921504606830593""]",114,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,7,4,1,16,32,16,16,0,0,HEStd_128_classic,False,394145,1050293,12614048,4210608,52932608,12.1549,0.0072,50.3214,50.0925,51.2216,60.5638,60.4245,60.9733,36.171,36.0894,36.5739,4.9928,4.9302,5.0833,0.0317,0.0287,0.0501,152.0834,151.9147,153.3838,442.3433137043488,437.4704365681538,443.3434748153198,105.20543333460456,104.31349334153933,105.32226308579749,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/039-BGV-native-e4-d1-j16-sequential.json,fbc4c14298a445354921275e1c8c56c46e2a931e16df8dea26229ed8619691e2
1,leveled-main-v2,BGV,packed_terminal,sequential,4,1,16,11,9959786547401337537,7,448,1.5.1,16.1.0,32,1,0.09758859999965352,65537,8192,1,1,83,82.807556,3,"[""1073872897"",""68720050177"",""114689""]",120,"[""1152921497895862273"",""1152921422732787713""]",203,2,HYBRID,UNIFORM_TERNARY,FLEXIBLEAUTOEXT,STANDARD,HPS,7,4,1170,1,2,1,1,0,0,HEStd_128_classic,False,394153,1312641,788394,263179,16039936,14.6284,0.0101,0.6861,0.6714,0.7456,4.3924,4.3314,5.0159,3.0961,2.9982,3.417,0.565,0.5515,0.7104,0.0024,0.0019,0.0031,8.8995,8.6713,9.351899999999999,5167.7917379929595,4682.470002926544,5336.535254486024,1797.8538120119108,1710.8822806060803,1845.1673912792776,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/052-BGV-packed_terminal-e4-d1-j16-sequential.json,77645383018d68ddb42cd5841da4345407bd8b43b7d5f241480efbaa976c7d55
1,leveled-main-v2,BFV,native,sequential,4,2,1,11,1225877420673396568,7,28,1.5.1,16.1.0,32,1,0.19911379999939527,2,8192,2,2,120,120.0,2,"[""1152921504606830593"",""1152921504606748673""]",0,[],120,2,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,10,10,1,1,3,1,2,0,0,HEStd_128_classic,False,262967,525405,789033,263211,16084992,10.2861,0.0039,3.6146,3.5407,3.6938,7.6466,7.5853,8.0581,9.8085,9.6232,10.1935,0.4284,0.4005,0.6039,0.0023,0.0022,0.0026,21.649500000000003,21.211200000000005,22.134800000000002,101.9523882346944,98.1017314955609,103.9155374511597,46.19044319730247,45.17772918662016,47.144904578713124,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/051-BFV-native-e4-d2-j1-sequential.json,3612ef65d474c56cf2f772f159dd6a6efb36b2d999bb20f3d30c63d19c0aaf74
1,leveled-main-v2,BFV,packed_terminal,sequential,4,2,1,11,1225877420673396568,7,28,1.5.1,16.1.0,32,1,0.25852210000084597,65537,8192,2,2,180,180.0,3,"[""1152921504606830593"",""1152921504606748673"",""1152921504606683137""]",0,[],180,3,BV,UNIFORM_TERNARY,NORESCALE,STANDARD,HPSPOVERQLEVELED,10,10,819,1,3,1,2,0,0,HEStd_128_classic,False,394161,1181191,1182615,394461,18804736,17.0483,0.0119,1.0828,1.012,1.1345,10.8656,10.3111,11.2369,16.1339,15.5663,16.7536,0.6918,0.6512,0.7346,0.0018,0.0014,0.0023,28.5707,27.549,29.3466,61.981294045457076,59.68866392894662,64.24134187314904,35.00089252275933,34.07549767264351,36.29895821989909,Code/experiments/leveled_jet_comparison/results/leveled-main-v2/028-BFV-packed_terminal-e4-d2-j1-sequential.json,ed91117d01f330784e697bc625e6baf2a19ed8380e83b79962f911b0191ba6f7
